Name,Latitude,Longitude
Unnamed,12.9243254 77.684732,77.6847356
Unnamed,13.1944226 77.6985231,77.6958967
Unnamed,13.1852505 77.6806551,77.680881
Unnamed,12.8930462 77.6007761,77.6006795
Unnamed,12.904298 77.6645297,77.6643139
Unnamed,12.9039228 77.6632959,77.6632401
Unnamed,13.0463393 77.5007174,77.5010802
Unnamed,13.0464452 77.5005268,77.5003122
Unnamed,13.0460006 77.5006847,77.500313
Unnamed,13.0459435 77.5007105,77.500712
Unnamed,12.9074127 77.6947162,77.6944064
Unnamed,12.9081951 77.69262,77.6925946
Unnamed,12.9094711 77.6873697,77.687139
Unnamed,12.9941533 77.5846204,77.584946
MLCP,12.973945 77.710226,77.7101089
Unnamed,13.0482532 77.5287034,77.5285824
Unnamed,13.0504987 77.52952,77.5293089
Unnamed,12.9731315 77.6127451,77.6126188
Unnamed,12.9584788 77.5930122,77.5929537
Unnamed,12.9743029 77.5840789,77.5840986
Unnamed,12.9432585 77.6999982,77.699732
Unnamed,12.9733739 77.5727492,77.5727335
Unnamed,13.0422639 77.5981656,77.5988093
Unnamed,12.9744674 77.6056975,77.6056743
Alliance Francaise Parking,12.9917805 77.5969159,77.5970422
Unnamed,12.9843599 77.5979331,77.5977294
Unnamed,12.9931191 77.6112421,77.6111661
Unnamed,12.9745596 77.6158155,77.615909
Unnamed,12.9544302 77.5172111,77.517345
Unnamed,13.0273537 77.5702772,77.5701989
Unnamed,13.028958 77.5706059,77.5704731
Unnamed,12.9729752 77.6046377,77.6048563
Byappanahalli Station Parking,12.9930558 77.6519492,77.652711
Unnamed,12.9319897 77.6944508,77.6935726
Unnamed,12.9690331 77.7493104,77.7493353
Unnamed,12.9832408 77.521099,77.5196867
Unnamed,12.9701015 77.6105379,77.6105053
St Philomena's Parking Lot,12.9657076 77.6110308,77.6105949
Unnamed,12.9668617 77.611466,77.6120194
Unnamed,12.9937765 77.588403,77.5881301
Unnamed,12.9842994 77.6924798,77.6936143
Unnamed,13.0824608 77.6424358,77.642568
Unnamed,12.9777819 77.6591375,77.6590894
Unnamed,12.9791998 77.6653777,77.6643102
Unnamed,12.9786993 77.6636705,77.6640755
Unnamed,12.9789069 77.6613591,77.661054
Unnamed,12.9988593 77.6411963,77.6409942
Unnamed,13.0016358 77.6395653,77.6392922
Unnamed,13.1655937 77.7027342,77.7023962
Unnamed,13.1659566 77.7004051,77.7009344
Unnamed,12.9330896 77.6859682,77.6860077
Unnamed,12.9746588 77.6199622,77.6199624
Unnamed,12.9739212 77.6190037,77.6190124
Unnamed,12.9731281 77.6198277,77.6198345
Unnamed,12.9377232 77.6953829,77.6951113
Unnamed,12.9200373 77.6965402,77.6964976
Unnamed,12.9347623 77.720857,77.7206601
Unnamed,12.9231073 77.6953328,77.6952835
Unnamed,12.9210677 77.6959589,77.6957995
Unnamed,12.9509117 77.6994214,77.6990772
Unnamed,12.9520108 77.6996023,77.6991522
Unnamed,12.8615133 77.6608863,77.6609114
Unnamed,12.9434479 77.6977151,77.6978145
Unnamed,12.9336065 77.6979491,77.6970865
Unnamed,12.9378416 77.7204925,77.7202524
Unnamed,12.9378609 77.7210111,77.720771
Unnamed,12.9350768 77.7206669,77.7206078
Unnamed,12.9385822 77.7212753,77.7212378
Unnamed,12.9380729 77.7238147,77.7233979
Unnamed,12.9375777 77.7248746,77.7244578
Unnamed,12.9385733 77.7259602,77.7258887
Unnamed,12.9679159 77.5996827,77.6000217
Unnamed,13.2297166 77.5488693,77.5489535
Unnamed,12.9472659 77.7182354,77.7182218
Unnamed,12.847 77.7777877,77.7765459
Unnamed,12.8468587 77.7761697,77.7761659
Unnamed,12.8428289 77.770755,77.7694809
Unnamed,12.8431924 77.7717313,77.7715704
Unnamed,12.9552337 77.7284521,77.7282102
Unnamed,12.9423393 77.5967475,77.5967958
Unnamed,12.9381394 77.5937587,77.5934368
Unnamed,12.9286722 77.7384772,77.7386379
SKRCC Parking,12.9548433 77.7170305,77.7166691
Unnamed,12.9958428 77.5509196,77.5511823
Unnamed,12.9621111 77.6159732,77.6159685
Unnamed,12.9932049 77.7190985,77.7191263
Visitor Parking,12.9943836 77.7055352,77.7054883
Unnamed,12.9937384 77.7009158,77.7004239
Unnamed,12.953255 77.6497507,77.6496204
Unnamed,12.957807 77.6149052,77.6145188
Unnamed,12.9578529 77.614983,77.6152553
Unnamed,13.1245287 77.5466671,77.5464207
Unnamed,12.8176716 77.6908641,77.6906709
Unnamed,12.8177174 77.6905854,77.6906414
Unnamed,12.8175612 77.6908667,77.6908371
Unnamed,12.8177422 77.6907192,77.6907029
St. Patrick's Parking Complex,12.9711234 77.6065247,77.6063959
Unnamed,13.0231854 77.5506449,77.5506307
Unnamed,13.0057001 77.5532068,77.5533393
Unnamed,12.9875327 77.7350034,77.7348527
Unnamed,13.0004357 77.6752685,77.67531
Unnamed,12.9724677 77.6189048,77.6189261
Unnamed,12.9044466 77.6020485,77.6021748
Unnamed,12.9136919 77.6788728,77.6789029
BBMP Parking,12.9807726 77.6029418,77.6029595
Unnamed,12.9094064 77.6875987,77.6874083
Unnamed,12.9106195 77.6854384,77.6854683
Unnamed,12.9094562 77.6873575,77.6871514
Unnamed,12.7820097 77.7377705,77.7375902
Unnamed,12.9746934 77.6065029,77.6064538
Unnamed,12.9570354 77.7354143,77.7354039
Unnamed,12.8836516 77.5485534,77.5485198
Unnamed,12.9981325 77.5573305,77.5573061
Unnamed,12.9755619 77.602347,77.6023338
Unnamed,12.9875943 77.7347849,77.7347901
Unnamed,13.0081306 77.7615079,77.7611908
Unnamed,13.0128061 77.7608793,77.7610249
Unnamed,13.0126035 77.7616023,77.7614239
Unnamed,13.0155824 77.7628091,77.7625736
Unnamed,12.856469 77.5408195,77.5403581
Unnamed,12.8569668 77.5418403,77.5417933
Unnamed,12.8568838 77.5408709,77.5407351
Unnamed,12.8567253 77.5407117,77.5407619
Unnamed,12.8571862 77.5396192,77.5396328
Unnamed,12.8566723 77.5404251,77.5403879
Unnamed,12.9661296 77.6138279,77.6139346
NMIT Bus Parking,13.1313995 77.5899379,77.5901325
MLCP,13.1265402 77.586738,77.5865892
Unnamed,12.8755358 77.5450137,77.5446708
Unnamed,12.9763218 77.7265822,77.7265881
Unnamed,12.9754996 77.7269752,77.7269482
Unnamed,12.8950497 77.6569974,77.656782
Unnamed,12.8954558 77.6575186,77.6569494
Unnamed,12.9808275 77.7168474,77.7165973
Unnamed,13.0643808 77.6484114,77.6481257
Unnamed,12.9610991 77.7169473,77.7169517
Unnamed,12.9769504 77.7257637,77.7257705
Unnamed,12.9646837 77.7145013,77.7144632
Unnamed,12.9867107 77.7442011,77.744173
Unnamed,12.9901121 77.6005529,77.6008376
Unnamed,13.1817032 77.7282607,77.7285279
Unnamed,12.9168532 77.5742362,77.5743928
Unnamed,12.8938216 77.5660193,77.5661396
Unnamed,12.8966439 77.5697383,77.5698511
Unnamed,12.9883027 77.7074379,77.7073494
Unnamed,13.0486365 77.5588581,77.5578083
Unnamed,13.1082869 77.5801572,77.5795207
Unnamed,13.1362075 77.5597858,77.5592601
Unnamed,13.1222342 77.5920897,77.5916367
Unnamed,13.134097 77.5887966,77.5884184
Unnamed,13.1776603 77.7225843,77.7224387
Unnamed,12.9124261 77.6803176,77.6803709
Unnamed,12.984427 77.7498627,77.7498349
Unnamed,12.9846908 77.7489747,77.748942
Unnamed,12.9204804 77.6668698,77.666925
Unnamed,13.1041793 77.5969741,77.5970123
Unnamed,12.9616955 77.7152578,77.7150067
Unnamed,12.9560002 77.7301095,77.7301108
Unnamed,12.9564556 77.7104921,77.7103785
Unnamed,12.9564181 77.7103618,77.7102317
Unnamed,12.9564414 77.7101798,77.71008
Unnamed,12.8543671 77.5100698,77.5099122
Unnamed,12.9935199 77.5986658,77.5982521
Unnamed,12.9700247 77.6056892,77.6053376
Unnamed,12.9542679 77.5721709,77.5715111
Unnamed,12.9630042 77.7183823,77.7180481
Unnamed,13.0100931 77.5568888,77.5568588
Unnamed,12.9545646 77.6529081,77.6521839
Unnamed,12.9560629 77.721415,77.7214253
Unnamed,13.0859157 77.6193041,77.6185906
Unnamed,13.0859889 77.6179656,77.6156267
